CSF_ID,80053_Control_ID
GV.RM-01,PM-1
GV.RR-01,PM-3
ID.AM-01,CM-8
ID.GV-01,PL-1
PR.AC-01,AC-2
PR.DS-01,SC-13
DE.AE-01,AU-6
DE.CM-01,CA-7
RS.RP-01,IR-1
RS.MI-01,IR-4
RC.RP-01,CP-2
RC.CO-01,IR-4
